Title,Year,Rating,Votes,Genres,Runtime,Director,Top 3 Cast,Box Office
Capernaum,2018,8.4,,[],Runtime2 hours 6 minutes,Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']",64417003.0
Singin' in the Rain,1952,8.3,,[],Runtime1 hour 43 minutes,Stanley Donen,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",2096442.0
Come and See,1985,8.3,,[],Runtime2 hours 22 minutes,Elem Klimov,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",20929648.0
Requiem for a Dream,2000,8.3,,[],Runtime1 hour 42 minutes,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",7391471.0
Star Wars: Episode VI - Return of the Jedi,1983,8.3,,[],Runtime2 hours 11 minutes,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",482466382.0
Toy Story 3,2010,8.3,,[],Runtime1 hour 43 minutes,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",1067316101.0
The Hunt,2012,8.3,,[],Runtime1 hour 55 minutes,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",15886373.0
Ikiru,1956,8.3,,[],Runtime2 hours 23 minutes,Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]",113821.0
Eternal Sunshine of the Spotless Mind,2004,8.3,,[],Runtime1 hour 48 minutes,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",73384095.0
Incendies,2011,8.3,,[],Runtime2 hours 11 minutes,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']",6797861.0
2001: A Space Odyssey,1968,8.3,,[],Runtime2 hours 29 minutes,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",66890296.0
The Apartment,1960,8.3,,[],Runtime2 hours 5 minutes,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",18783770.0
Reservoir Dogs,1992,8.3,,[],Runtime1 hour 39 minutes,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",2932006.0
Lawrence of Arabia,2013,8.3,,[],Runtime3 hours 47 minutes,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",45870825.0
Scarface,1983,8.3,,[],Runtime2 hours 50 minutes,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']",66443303.0
Double Indemnity,1944,8.3,,[],Runtime1 hour 47 minutes,Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']",21026.0
Heat,1995,8.3,,[],Runtime2 hours 50 minutes,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",187436818.0
